date	day_of_week	brand	cnt
133	5	1	314
133	5	2	203
133	5	3	214
133	5	4	121
133	5	5	309
134	6	2	32
134	6	4	30
134	6	5	51
135	7	2	14
136	1	1	418
136	1	2	355
136	1	3	620
136	1	4	507
136	1	5	474
137	2	1	544
137	2	2	348
137	2	3	267
137	2	4	211
137	2	5	515
138	3	1	468
138	3	2	340
138	3	3	349
138	3	4	113
138	3	5	336
139	4	1	303
139	4	2	430
139	4	3	235
139	4	4	288
139	4	5	434
140	5	1	192
140	5	2	279
140	5	3	385
140	5	4	169
140	5	5	329
141	6	1	218
141	6	2	317
141	6	3	241
141	6	4	181
141	6	5	309
142	7	1	170
142	7	2	357
142	7	3	301
142	7	4	79
142	7	5	402
143	1	1	17
143	1	2	51
143	1	5	21
144	4	1	527
144	4	2	430
144	4	3	353
144	4	4	332
144	4	5	623
145	5	1	261
145	5	2	329
145	5	3	385
145	5	4	314
145	5	5	432
146	6	1	65
146	6	2	32
146	6	3	27
146	6	5	26
147	7	4	26
148	1	1	401
148	1	2	393
148	1	3	192
148	1	4	338
148	1	5	288
149	2	1	305
149	2	2	475
149	2	3	241
149	2	4	513
149	2	5	644
150	3	1	244
150	3	2	399
150	3	3	150
150	3	4	169
150	3	5	577
151	4	1	240
151	4	2	244
151	4	3	196
151	4	4	66
151	4	5	321
152	5	1	244
152	5	2	342
152	5	3	278
152	5	4	193
152	5	5	268
153	6	2	32
153	6	3	27
153	6	5	26
154	7	2	14
154	7	5	22
155	1	1	418
155	1	2	241
155	1	3	342
155	1	4	386
155	1	5	391
156	2	1	653
156	2	2	412
156	2	3	347
156	2	4	332
156	2	5	592
157	3	1	122
157	3	2	399
157	3	3	424
157	3	4	254
157	3	5	288
158	4	1	208
158	4	2	256
158	4	3	176
158	4	4	177
158	4	5	208
159	5	1	348
159	5	2	329
159	5	3	278
159	5	4	169
159	5	5	535
160	6	2	79
160	6	3	27
160	6	5	77
161	1	1	418
161	1	2	228
161	1	3	235
161	1	4	217
161	1	5	721
162	2	1	348
162	2	2	428
162	2	3	428
162	2	4	242
162	2	5	335
163	3	1	366
163	3	2	621
163	3	3	299
163	3	4	85
163	3	5	553
164	4	1	224
164	4	2	372
164	4	3	137
164	4	4	221
164	4	5	302
165	5	1	331
165	5	2	317
165	5	3	235
165	5	4	169
165	5	5	474
166	6	1	65
166	6	2	16
166	6	3	27
167	7	2	14
168	1	1	436
168	1	2	418
168	1	3	214
168	1	4	242
168	1	5	494
169	2	1	283
169	2	2	333
169	2	3	428
169	2	4	211
169	2	5	360
170	3	1	325
170	3	2	207
170	3	3	324
170	3	4	197
170	3	5	505
171	4	1	128
171	4	2	256
171	4	3	137
171	4	4	44
171	4	5	245
172	5	1	261
172	5	2	482
172	5	3	235
172	5	4	193
172	5	5	432
173	6	1	22
173	6	2	16
173	6	4	30
173	6	5	26
174	7	3	23
175	1	1	418
175	1	2	545
175	1	3	364
175	1	4	217
175	1	5	597
176	2	1	305
176	2	2	396
176	2	3	267
176	2	4	302
176	2	5	489
177	3	1	264
177	3	2	340
177	3	3	249
177	3	4	197
177	3	5	456
178	4	1	144
178	4	2	314
178	4	3	255
178	4	4	199
178	4	5	359
179	5	1	331
179	5	2	291
179	5	3	406
179	5	4	193
179	5	5	412
180	6	1	22
180	6	2	79
180	6	3	27
180	6	5	26
181	7	2	14
182	1	1	261
182	1	2	558
182	1	3	428
182	1	4	266
182	1	5	515
183	2	1	544
183	2	2	380
183	2	3	267
183	2	4	121
183	2	5	721
184	3	1	163
184	3	2	325
184	3	3	249
184	3	4	225
184	3	5	384
185	4	1	96
185	4	2	337
185	4	3	255
185	4	4	22
185	4	5	321
186	5	1	192
186	5	2	203
186	5	3	321
186	5	4	121
186	5	5	453
187	6	2	16
187	6	5	26
188	1	1	331
188	1	2	469
188	1	3	342
188	1	4	242
188	1	5	577
189	2	1	370
189	2	2	507
189	2	3	187
189	2	4	121
189	2	5	566
190	3	1	244
190	3	2	325
190	3	3	274
190	3	4	254
190	3	5	408
191	4	1	240
191	4	2	348
191	4	3	196
191	4	4	221
191	4	5	472
192	5	1	418
192	5	2	469
192	5	3	321
192	5	4	169
192	5	5	515
193	6	1	65
193	6	2	16
194	1	1	296
194	1	2	494
194	1	3	299
194	1	4	290
194	1	5	721
195	2	1	436
195	2	2	444
195	2	3	294
195	2	4	242
195	2	5	489
196	3	1	264
196	3	2	296
196	3	3	424
196	3	4	169
196	3	5	529
197	4	1	176
197	4	2	279
197	4	3	216
197	4	4	133
197	4	5	566
198	5	1	139
198	5	2	266
198	5	3	171
198	5	4	121
198	5	5	288
199	6	3	27
200	1	1	418
200	1	2	444
200	1	3	257
200	1	4	314
200	1	5	371
201	2	1	218
201	2	2	444
201	2	3	187
201	2	4	242
201	2	5	669
202	3	1	264
202	3	2	473
202	3	3	424
202	3	4	310
202	3	5	480
203	4	1	160
203	4	2	256
203	4	3	274
203	4	4	66
203	4	5	302
204	5	1	105
204	5	2	304
204	5	3	257
204	5	4	72
204	5	5	412
205	6	1	44
205	6	2	79
205	6	3	107
205	6	4	30
205	6	5	103
206	1	1	505
206	1	2	760
206	1	3	428
206	1	4	290
206	1	5	782
207	2	1	414
207	2	2	475
207	2	3	374
207	2	4	272
207	2	5	746
208	3	1	41
208	3	2	370
208	3	3	100
208	3	4	169
208	3	5	384
209	4	1	208
209	4	2	267
209	4	3	235
209	4	4	199
209	4	5	529
210	5	1	296
210	5	2	393
210	5	3	257
210	5	4	217
210	5	5	535
211	6	1	44
211	6	2	48
211	6	4	30
212	7	2	14
213	1	1	610
213	1	2	418
213	1	3	342
213	1	4	242
213	1	5	494
214	2	1	392
214	2	2	554
214	2	3	160
214	2	4	242
214	2	5	463
215	3	1	264
215	3	2	370
215	3	3	299
215	3	4	169
215	3	5	649
216	4	1	224
216	4	2	221
216	4	3	314
216	4	4	221
216	4	5	453
217	5	1	227
217	5	2	253
217	5	3	214
217	5	4	72
217	5	5	268
218	6	1	22
218	6	5	51
219	7	4	26
220	1	1	418
220	1	2	406
220	1	3	385
220	1	4	72
220	1	5	494
221	2	1	501
221	2	2	364
221	2	3	294
221	2	4	332
221	2	5	541
222	3	1	346
222	3	2	310
222	3	3	374
222	3	4	169
222	3	5	408
223	4	1	240
223	4	2	186
223	4	3	176
223	4	4	89
223	4	5	170
224	5	1	244
224	5	2	355
224	5	3	406
224	5	4	97
224	5	5	432
225	6	1	109
225	6	2	48
225	6	4	60
225	6	5	154
226	1	1	470
226	1	2	520
226	1	3	364
226	1	4	193
226	1	5	247
227	2	1	501
227	2	2	475
227	2	3	267
227	2	4	181
227	2	5	541
228	3	1	325
228	3	2	207
228	3	3	299
228	3	4	169
228	3	5	408
229	4	1	447
229	4	2	488
229	4	3	294
229	4	4	155
229	4	5	378
230	5	1	314
230	5	2	367
230	5	3	321
230	5	4	121
230	5	5	206
231	6	2	32
231	6	3	53
231	6	5	103
232	1	1	418
232	1	2	684
232	1	3	385
232	1	4	121
232	1	5	680
233	2	1	479
233	2	2	348
233	2	3	321
233	2	4	211
233	2	5	541
234	3	1	386
234	3	2	577
234	3	3	299
234	3	4	310
234	3	5	529
235	4	1	16
235	4	2	12
235	4	3	20
236	5	2	13
237	7	1	547
237	7	2	645
237	7	3	625
237	7	4	157
237	7	5	959
238	1	1	383
238	1	2	456
238	1	3	449
238	1	4	362
238	1	5	680
239	2	1	523
239	2	2	412
239	2	3	294
239	2	4	302
239	2	5	952
240	3	1	508
240	3	2	340
240	3	3	424
240	3	4	197
240	3	5	480
241	4	1	335
241	4	2	372
241	4	3	274
241	4	4	332
241	4	5	585
242	5	1	314
242	5	2	279
242	5	3	342
242	5	4	266
242	5	5	824
243	6	1	44
243	6	2	63
243	6	3	80
243	6	4	30
243	6	5	26
244	7	1	321
244	7	2	577
244	7	3	649
244	7	4	236
244	7	5	1093
245	1	1	366
245	1	2	532
245	1	3	364
245	1	4	169
245	1	5	741
246	3	2	44
246	3	3	25
246	3	5	48
247	5	1	17
248	6	2	16
249	7	1	19
250	2	1	1111
250	2	2	649
250	2	3	561
250	2	4	574
250	2	5	1828
251	3	1	630
251	3	2	458
251	3	3	474
251	3	4	254
251	3	5	865
252	4	1	479
252	4	2	441
252	4	3	235
252	4	4	155
252	4	5	566
253	5	1	348
253	5	2	253
253	5	3	171
253	5	4	217
253	5	5	350
254	6	1	305
254	6	2	317
254	6	3	241
254	6	4	242
254	6	5	309
255	7	1	19
256	1	1	488
256	1	2	393
256	1	3	492
256	1	4	362
256	1	5	515
257	2	1	784
257	2	2	507
257	2	3	535
257	2	4	302
257	2	5	541
258	3	1	650
258	3	2	606
258	3	3	249
258	3	4	338
258	3	5	697
259	4	1	192
259	4	2	337
259	4	3	157
259	4	4	66
259	4	5	245
260	5	1	366
260	5	2	355
260	5	3	385
260	5	4	290
260	5	5	412
261	6	1	44
261	6	2	48
261	6	3	53
261	6	5	26
262	1	1	558
262	1	2	304
262	1	3	235
262	1	4	338
262	1	5	474
263	2	1	871
263	2	2	348
263	2	3	321
263	2	4	332
263	2	5	669
264	3	1	386
264	3	2	251
264	3	3	274
264	3	4	282
264	3	5	529
265	4	1	335
265	4	2	314
265	4	3	255
265	4	4	155
265	4	5	547
266	5	1	453
266	5	2	291
266	5	3	257
266	5	4	169
266	5	5	494
267	6	1	44
267	6	2	95
267	6	3	27
267	6	5	26
268	1	1	558
268	1	2	418
268	1	3	556
268	1	4	266
268	1	5	638
269	2	1	501
269	2	2	444
269	2	3	294
269	2	4	272
269	2	5	566
270	3	1	305
270	3	2	325
270	3	3	200
270	3	4	310
270	3	5	649
271	4	1	335
271	4	2	279
271	4	3	137
271	4	4	155
271	4	5	415
272	5	1	540
272	5	2	127
272	5	3	257
272	5	4	193
272	5	5	597
273	6	1	44
273	6	2	32
273	6	3	27
273	6	5	26
274	1	1	592
274	1	2	329
274	1	3	299
274	1	4	386
274	1	5	453
275	2	1	479
275	2	2	380
275	2	3	294
275	2	4	181
275	2	5	515
276	3	1	386
276	3	2	251
276	3	3	200
276	3	4	169
276	3	5	625
277	4	1	287
277	4	2	174
277	4	3	216
277	4	4	199
277	4	5	321
278	5	1	540
278	5	2	317
278	5	3	428
278	5	4	217
278	5	5	597
279	6	1	65
279	6	2	63
279	6	3	27
279	6	5	51
280	1	1	470
280	1	2	355
280	1	3	171
280	1	4	242
280	1	5	474
281	2	1	784
281	2	2	523
281	2	3	214
281	2	4	302
281	2	5	515
282	3	1	447
282	3	2	414
282	3	3	399
282	3	4	338
282	3	5	505
283	4	1	160
283	4	2	232
283	4	3	196
283	4	4	221
283	4	5	321
284	5	1	523
284	5	2	304
284	5	3	150
284	5	4	242
284	5	5	474
285	6	1	65
285	6	2	48
285	6	3	27
285	6	4	30
286	1	1	523
286	1	2	367
286	1	3	321
286	1	4	290
286	1	5	556
287	2	1	261
287	2	2	491
287	2	3	294
287	2	4	393
287	2	5	721
288	3	1	305
288	3	2	310
288	3	3	150
288	3	4	225
288	3	5	529
289	4	1	176
289	4	2	314
289	4	3	216
289	4	4	66
289	4	5	585
290	5	1	383
290	5	2	406
290	5	3	235
290	5	4	242
290	5	5	432
291	6	1	22
291	6	2	32
291	6	3	27
291	6	4	60
291	6	5	51
292	7	5	22
293	1	1	453
293	1	2	482
293	1	3	278
293	1	4	411
293	1	5	494
294	2	1	675
294	2	2	444
294	2	3	454
294	2	4	211
294	2	5	386
295	3	1	488
295	3	2	384
295	3	3	200
295	3	4	225
295	3	5	384
296	4	1	351
296	4	2	209
296	4	3	176
296	4	4	133
296	4	5	585
297	5	1	418
297	5	2	393
297	5	3	278
297	5	4	266
297	5	5	494
298	6	1	65
298	6	2	127
298	6	3	160
298	6	4	91
298	6	5	335
299	1	1	505
299	1	2	355
299	1	3	513
299	1	4	217
299	1	5	700
300	2	1	588
300	2	2	301
300	2	3	321
300	2	4	453
300	2	5	463
301	3	1	508
301	3	2	384
301	3	3	599
301	3	4	338
301	3	5	480
302	4	1	192
302	4	2	221
302	4	3	216
302	4	4	244
302	4	5	415
303	5	1	227
303	5	2	367
303	5	3	214
303	5	4	290
303	5	5	556
304	6	1	131
304	6	2	63
304	6	3	80
304	6	5	103
305	1	1	453
305	1	2	190
305	1	3	406
305	1	4	483
305	1	5	494
306	2	1	544
306	2	2	412
306	2	3	294
306	2	4	211
306	2	5	541
307	3	1	447
307	3	2	503
307	3	3	349
307	3	4	479
307	3	5	961
308	4	1	272
308	4	2	314
308	4	3	314
308	4	4	354
308	4	5	472
309	5	1	366
309	5	2	380
309	5	3	192
309	5	4	145
309	5	5	391
310	6	1	65
310	6	2	48
310	6	4	91
310	6	5	51
311	1	1	592
311	1	2	380
311	1	3	235
311	1	4	290
311	1	5	659
312	2	1	436
312	2	2	190
312	2	3	267
312	2	4	272
312	2	5	515
313	3	1	630
313	3	2	310
313	3	3	200
313	3	4	310
313	3	5	529
314	4	1	351
314	4	2	139
314	4	3	137
314	4	4	221
314	4	5	359
315	5	1	488
315	5	2	317
315	5	3	150
315	5	4	217
315	5	5	659
316	6	1	44
316	6	2	48
316	6	3	53
316	6	4	30
316	6	5	103
317	1	1	401
317	1	2	304
317	1	3	235
317	1	4	338
317	1	5	309
318	2	1	457
318	2	2	253
318	2	3	134
318	2	4	181
318	2	5	489
319	3	1	366
319	3	2	177
319	3	3	299
319	3	4	310
319	3	5	432
320	4	1	256
320	4	2	279
320	4	3	137
320	4	4	221
320	4	5	472
321	5	1	366
321	5	2	241
321	5	3	192
321	5	4	266
321	5	5	577
322	6	1	109
322	6	2	16
322	6	3	80
323	1	1	383
323	1	2	291
323	1	3	171
323	1	4	362
323	1	5	453
324	2	1	327
324	2	2	158
324	2	3	27
324	2	4	181
324	2	5	257
325	4	1	1084
325	4	2	631
325	4	3	665
325	4	4	794
325	4	5	1080
326	5	1	1453
326	5	2	700
326	5	3	829
326	5	4	609
326	5	5	978
327	6	1	232
327	6	2	61
327	6	3	52
327	6	4	29
327	6	5	275
328	1	1	1436
328	1	2	836
328	1	3	1016
328	1	4	656
328	1	5	1258
329	2	1	993
329	2	2	1152
329	2	3	648
329	2	4	849
329	2	5	1448
330	3	1	1064
330	3	2	430
330	3	3	702
330	3	4	547
330	3	5	745
331	4	1	635
331	4	2	349
331	4	3	285
331	4	4	408
331	4	5	494
332	5	1	828
332	5	2	393
332	5	3	643
332	5	4	492
332	5	5	719
333	6	1	127
333	6	2	123
333	6	3	78
333	6	4	88
333	6	5	25
334	1	1	777
334	1	2	406
334	1	3	373
334	1	4	398
334	1	5	639
335	2	1	739
335	2	2	399
335	2	3	415
335	2	4	644
335	2	5	599
336	3	1	611
336	3	2	416
336	3	3	508
336	3	4	219
336	3	5	792
337	4	1	743
337	4	2	462
337	4	3	513
337	4	4	494
337	4	5	494
338	5	1	541
338	5	2	700
338	5	3	477
338	5	4	609
338	5	5	679
339	6	1	106
339	6	2	77
339	6	3	78
339	6	5	150
340	1	1	912
340	1	2	578
340	1	3	643
340	1	4	539
340	1	5	919
341	2	1	739
341	2	2	645
341	2	3	752
341	2	4	468
341	2	5	924
342	3	1	966
342	3	2	502
342	3	3	774
342	3	4	547
342	3	5	745
343	4	1	589
343	4	2	451
343	4	3	399
343	4	4	172
343	4	5	531
344	5	1	794
344	5	2	725
344	5	3	746
344	5	4	703
344	5	5	919
345	6	1	42
345	6	2	61
345	6	4	146
345	6	5	75
346	7	1	311
346	7	2	386
346	7	3	157
346	7	4	178
346	7	5	627
347	1	1	895
347	1	2	676
347	1	3	726
347	1	4	1124
347	1	5	899
348	2	1	1119
348	2	2	584
348	2	3	700
348	2	4	556
348	2	5	998
349	3	1	394
349	3	2	215
349	3	3	169
349	3	4	191
349	3	5	629
350	4	1	77
350	4	2	34
350	4	3	57
350	4	4	21
350	4	5	55
351	3	5	23
352	4	3	19
353	5	1	1081
353	5	2	504
353	5	3	435
353	5	4	843
353	5	5	1198
354	6	1	993
354	6	2	415
354	6	3	622
354	6	4	703
354	6	5	599
355	7	2	13
356	1	1	1064
356	1	2	565
356	1	3	498
356	1	4	984
356	1	5	599
357	2	1	824
357	2	2	568
357	2	3	726
357	2	4	908
357	2	5	499
358	3	1	769
358	3	2	229
358	3	3	314
358	3	4	574
358	3	5	396
359	4	1	589
359	4	2	270
359	4	3	152
359	4	4	236
359	4	5	329
360	5	1	406
360	5	2	307
360	5	3	228
360	5	4	492
360	5	5	339
361	6	1	42
361	6	2	15
361	6	3	52
361	6	4	88
361	6	5	75
362	7	1	18
363	1	1	760
363	1	2	270
363	1	3	311
363	1	4	234
363	1	5	260
364	2	1	824
364	2	2	230
364	2	3	311
364	2	4	264
364	2	5	275
365	3	1	591
365	3	2	272
365	3	3	266
365	3	4	492
365	3	5	419
366	4	1	387
366	4	2	248
366	4	3	209
366	4	4	322
366	4	5	366
367	5	1	507
367	5	2	221
367	5	3	290
367	5	4	468
367	5	5	419
368	6	1	63
368	6	2	108
368	6	4	29
368	6	5	50
369	7	2	13
370	1	1	558
370	1	2	393
370	1	3	311
370	1	4	586
370	1	5	539
371	2	1	972
371	2	2	676
371	2	3	441
371	2	4	586
371	2	5	549
372	3	1	670
372	3	2	459
372	3	3	411
372	3	4	465
372	3	5	466
373	4	1	480
373	4	2	248
373	4	3	266
373	4	4	279
373	4	5	293
374	5	1	389
374	5	2	319
374	5	3	166
374	5	4	234
374	5	5	200
375	6	1	21
375	6	2	123
375	6	3	52
375	6	4	59
375	6	5	50
376	7	2	27
377	1	1	558
377	1	2	258
377	1	3	290
377	1	4	820
377	1	5	280
378	2	1	803
378	2	2	169
378	2	3	181
378	2	4	615
378	2	5	250
379	3	1	513
379	3	2	272
379	3	3	169
379	3	4	465
379	3	5	303
380	4	1	387
380	4	2	304
380	4	3	152
380	4	4	301
380	4	5	293
381	5	1	304
381	5	2	197
381	5	3	83
381	5	4	141
381	5	5	339
382	6	1	127
382	6	2	15
382	6	3	52
382	6	4	146
382	6	5	50
383	1	1	541
383	1	2	307
383	1	3	353
383	1	4	445
383	1	5	419
384	2	1	549
384	2	2	200
384	2	3	156
384	2	4	498
384	2	5	399
385	3	1	591
385	3	2	301
385	3	3	218
385	3	4	164
385	3	5	419
386	4	1	387
386	4	2	225
386	4	3	190
386	4	4	279
386	4	5	311
387	5	1	338
387	5	2	172
387	5	3	228
387	5	4	211
387	5	5	180
388	6	1	63
388	6	2	92
